osd_id,total_terms,significant_terms,go_bp,go_mf,go_cc,kegg,top_term,top_pvalue
OSD-105,30,30,10,5,5,10,Stress response,0.0009040521922087141
OSD-103,30,30,10,5,5,10,Stress response,0.0006338559545355792
OSD-270,30,30,10,5,5,10,Stress response,0.0011820416976584633
OSD-194-RNA,30,30,10,5,5,10,Stress response,0.0002795202049895857
OSD-162,30,30,10,5,5,10,Stress response,0.0009793897686166248
OSD-457,30,30,10,5,5,10,Stress response,8.376697131201621e-06
OSD-513,30,30,10,5,5,10,Stress response,0.000200982535859808
OSD-102,30,29,10,5,5,9,Stress response,0.0009310874707253349
OSD-101,30,29,10,5,5,9,Stress response,0.0011525281522711084
OSD-397,30,29,10,5,5,9,Stress response,0.001305769885255964
OSD-288,30,29,10,5,5,9,Stress response,0.0008723458918888596
OSD-420,30,28,9,5,5,9,Stress response,0.0008813554007650015
OSD-100,30,27,9,5,5,8,Stress response,0.0011755961682236302
