ENSEMBL,log2FoldChange,padj,significance
ENSMUSG00000015957,1.36123012424089,0.0088921388863158,Up-regulated
ENSMUSG00000021135,-1.22973274079446,5.37373550530655e-05,Down-regulated
ENSMUSG00000021214,-1.28308390434946,0.0181634443917126,Down-regulated
ENSMUSG00000026077,-1.4359183147321,1.53350154657416e-16,Down-regulated
ENSMUSG00000027379,-1.08757307740225,0.0365497528728379,Down-regulated
ENSMUSG00000027875,1.65791303754222,0.0011676831594859,Up-regulated
ENSMUSG00000028957,1.19812691403636,4.04288715405818e-05,Up-regulated
ENSMUSG00000030256,1.12666794657413,2.82464681714977e-05,Up-regulated
ENSMUSG00000031994,-1.3280779362728,0.0026773787489092,Down-regulated
ENSMUSG00000032758,-1.46168906076381,0.0014959118272439,Down-regulated
ENSMUSG00000034450,1.89149888888152,3.68938270169619e-05,Up-regulated
ENSMUSG00000039109,-1.0687623396417,0.0439748998464394,Down-regulated
ENSMUSG00000052562,-1.19519913870983,0.0437157762176566,Down-regulated
ENSMUSG00000053303,-1.43347912026804,0.024464154713095,Down-regulated
ENSMUSG00000054986,-1.1045469754849,0.0019651487787587,Down-regulated
ENSMUSG00000055116,-1.04001139589668,3.18615486997905e-07,Down-regulated
ENSMUSG00000055254,-1.33382615995406,0.039829074488874,Down-regulated
ENSMUSG00000056749,-1.02094131057123,0.000584884217782,Down-regulated
ENSMUSG00000059824,2.20539651331444,7.10238663423042e-06,Up-regulated
ENSMUSG00000074715,-2.03133294330743,1.4254832916047e-05,Down-regulated
ENSMUSG00000097352,-4.00271703475143,0.0467665614504426,Down-regulated
ENSMUSG00000112324,-1.1753355379129,0.0171662119995348,Down-regulated
